county,state,count,,
153,32,216,,
79,32,238,,
109,32,1451,,
55,32,1479,,
11,33,,,
9,33,,,
17,33,,,
27,33,,,
15,33,,,
 ,33,,,
21,33,13,,
831,33,16,,
33,33,17,,
13,33,23,,
0,33,67,,
803,33,77,,
5,33,97,,
1,33,157,,
7,33,163,,
23,33,168,,
19,33,200,,
510,33,282,,
731,33,566,,
703,33,1941,,
 ,34,,,
0,34,93,,
5,34,152,,
19,34,163,,
3,34,172,,
7,34,176,,
9,34,260,,
1,34,292,,
15,34,469,,
17,34,844,,
13,34,867,,
11,34,1756,,
19,35,110,,
 ,35,132,,
41,35,199,,
9,35,256,,
35,35,292,,
33,35,308,,
37,35,315,,
27,35,351,,
5,35,687,,
15,35,730,,
3,35,746,,
1,35,876,,
25,35,944,,
11,35,968,,
39,35,977,,
23,35,1008,,
21,35,1184,,
17,35,1305,,
31,35,1475,,
29,35,1493,,
7,35,1955,,
13,35,3420,,
21,36,,,
 ,36,,,
28,36,,,
3,36,11,,
59,36,12,,
11,36,20,,
19,36,24,,
23,36,24,,
33,36,31,,
51,36,56,,
6,36,64,,
27,36,79,,
37,36,86,,
29,36,95,,
31,36,101,,
41,36,102,,
53,36,109,,
57,36,112,,
17,36,112,,
7,36,116,,
25,36,178,,
35,36,191,,
55,36,192,,
15,36,230,,
43,36,245,,
5,36,261,,
9,36,266,,
47,36,287,,
61,36,290,,
39,36,333,,
45,36,356,,
49,36,461,,
13,36,1000,,
1,36,2266,,
 ,37,17,,
41,37,47,,
79,37,117,,
49,37,206,,
97,37,212,,
999,37,217,,
95,37,287,,
121,37,291,,
123,37,312,,
99,37,325,,
25,37,326,,
107,37,365,,
77,37,372,,
37,37,411,,
31,37,441,,
21,37,466,,
17,37,487,,
53,37,490,,
73,37,490,,
87,37,496,,
51,37,500,,
39,37,502,,
43,37,509,,
23,37,540,,
33,37,599,,
3,37,655,,
45,37,702,,
117,37,705,,
109,37,718,,
115,37,728,,
113,37,749,,
105,37,750,,
69,37,878,,
19,37,993,,
15,37,1010,,
101,37,1019,,
11,37,1025,,
57,37,1050,,
27,37,1078,,
9,37,1085,,
89,37,1224,,
111,37,1347,,
91,37,1436,,
35,37,1452,,
71,37,1696,,
75,37,1896,,
83,37,1944,,
5,37,2171,,
119,37,2178,,
93,37,2211,,
65,37,2421,,
13,37,2551,,
1,37,2640,,
59,37,2673,,
63,37,2706,,
67,37,4238,,
103,37,5737,,
55,37,5968,,
29,37,9361,,
61,37,47872,,
 ,38,,,
95,38,21,,
177,38,23,,
73,38,33,,
29,38,41,,
187,38,52,,
137,38,84,,
149,38,84,,
5,38,85,,
79,38,97,,
143,38,97,,
199,38,99,,
185,38,111,,
91,38,113,,
41,38,118,,
43,38,119,,
121,38,119,,
103,38,121,,
53,38,129,,
131,38,137,,
75,38,140,,
9,38,149,,
189,38,155,,
11,38,161,,
